timestamp,direction,speed
2022-07-28,45,1.718
2022-07-28,45,1.448
2022-07-28,45,1.633
2022-07-28,45,1.749
2022-07-28,45,2.474
2022-07-28,45,3.11
2022-07-28,45,1.352
2022-07-28,45,0.392
2022-07-28,45,1.447
2022-07-28,45,3.645
2022-07-28,45,0.615
2022-07-28,45,1.297
2022-07-28,45,2.064
2022-07-28,225,0.914
2022-07-28,45,0.779
2022-07-28,45,0.867
2022-07-28,45,2.78
2022-07-28,45,1.07
2022-07-28,45,2.16
2022-07-28,45,1.85
2022-07-28,180,2.18
2022-07-28,45,1.8
2022-07-28,45,3.41
2022-07-28,45,1.76
2022-07-28,45,2.51
2022-07-28,45,2.17
2022-07-28,45,3.47
2022-07-28,45,0.03
2022-07-28,45,1.61
2022-07-28,45,1.98
2022-07-28,45,2.34
2022-07-28,45,0.88
2022-07-28,315,1.38
2022-07-28,315,0.603
2022-07-28,315,1.185
2022-07-28,135,0.729
2022-07-28,45,0.746
2022-07-28,270,4.616
2022-07-28,180,2.704
2022-07-28,45,1.421
2022-07-28,315,1.01
2022-07-28,270,1.812
2022-07-28,315,1.568
2022-07-28,45,2.329
2022-07-28,45,0.488
2022-07-28,225,0.612
2022-07-28,315,1.894
2022-07-28,0,0.344
2022-07-28,45,0.252
2022-07-28,45,0.631
2022-07-28,45,0.712
2022-07-28,270,0.391
2022-07-28,90,0.792
2022-07-28,315,0.655
2022-07-28,135,0.293
2022-07-28,315,0.537
2022-07-28,270,0.273
2022-07-28,225,0.206
2022-07-28,225,0.489
2022-07-28,225,0.685
2022-07-28,225,0.632
2022-07-28,225,0.282
2022-07-28,45,0.77
2022-07-28,45,0.233
2022-07-28,45,1.836
2022-07-28,0,2.084
2022-07-28,45,0.749
2022-07-28,45,0.954
2022-07-28,180,0.669
2022-07-28,45,1.418
2022-07-28,45,5.376
2022-07-28,45,1.17
2022-07-28,45,1.479
2022-07-28,45,3.716
2022-07-28,45,1.194
2022-07-28,45,0.928
2022-07-28,45,2.466
2022-07-28,45,1.052
2022-07-28,45,1.755
2022-07-28,45,0.802
2022-07-28,45,0.047
2022-07-28,45,0.435
2022-07-28,45,0.259
2022-07-28,90,1.021
2022-07-28,225,0.948
2022-07-28,90,0.757
2022-07-28,90,0.967
2022-07-28,180,0.273
2022-07-28,45,0.242
2022-07-28,45,0.656
2022-07-28,225,0.739
2022-07-28,0,0.94
2022-07-28,0,1.049
2022-07-28,270,0.642
2022-07-28,270,0.835
2022-07-28,45,0.272
2022-07-28,90,4.27
2022-07-28,90,4.55
2022-07-28,90,2.835
2022-07-28,270,2.831
2022-07-28,135,2.817
2022-07-28,135,6.547
2022-07-28,135,4.397
2022-07-28,135,4.143
2022-07-28,0,4.84
2022-07-28,180,3.196
2022-07-28,180,0.885
2022-07-28,45,4.18
2022-07-28,45,6.092
2022-07-28,180,5.521
2022-07-28,90,1.114
2022-07-28,180,4.285
2022-07-28,270,0.311
2022-07-28,90,0.835
2022-07-28,135,0.624
2022-07-28,135,0.757
2022-07-28,0,0.965
2022-07-28,135,0.395
2022-07-28,315,0.419
2022-07-28,0,1.313
2022-07-28,0,0.526
2022-07-28,0,0.243
2022-07-28,0,0.367
2022-07-28,0,2.3
2022-07-28,0,1.005
2022-07-28,0,1.76
2022-07-28,0,0.957
2022-07-28,0,0.593
2022-07-28,90,0.767
2022-07-28,90,1.621
2022-07-28,270,1.34
2022-07-28,90,0.629
2022-07-28,90,1.723
2022-07-28,90,2.708
2022-07-28,90,0.972
2022-07-28,270,1.199
2022-07-28,270,1.382
2022-07-28,270,0.91
2022-07-28,270,1.907
2022-07-28,270,1.218
2022-07-28,90,0.816
2022-07-28,90,1.845
2022-07-28,270,0.467
2022-07-28,90,0.393
2022-07-28,90,3.944
2022-07-28,90,4.143
2022-07-28,270,3.13
2022-07-28,270,2.124
2022-07-28,135,4.99
2022-07-28,135,3.078
2022-07-28,135,5.225
2022-07-28,135,4.844
2022-07-28,135,0.908
2022-07-28,135,1.568
2022-07-28,135,3.471
2022-07-28,45,3.718
2022-07-28,45,0.975
2022-07-28,45,3.664
2022-07-28,135,2.964
2022-07-28,135,3.563
2022-07-28,90,1.606
2022-07-28,90,1.009
2022-07-28,270,0.729
2022-07-28,90,0.816
2022-07-28,270,1.249
2022-07-28,90,1.422
2022-07-28,90,2.914
2022-07-28,90,1.171
2022-07-28,270,0.869
2022-07-28,90,2.507
2022-07-28,270,0.953
2022-07-28,270,0.494
2022-07-28,270,0.726
2022-07-28,90,1.418
2022-07-28,90,0.593
2022-07-28,90,2.023
2022-07-28,90,1.597
2022-07-28,90,1.104
2022-07-28,270,1.527
2022-07-28,270,0.943
2022-07-28,270,1.507
2022-07-28,90,1.971
2022-07-28,90,0.943
2022-07-28,270,1.926
2022-07-28,90,0.356
2022-07-28,90,0.935
2022-07-28,270,1.464
2022-07-28,90,2.006
2022-07-28,90,0.718
2022-07-28,90,1.763
2022-07-28,90,2.044
2022-07-28,90,0.566
2022-07-28,135,0.571
2022-07-28,135,0.814
2022-07-28,45,0.592
2022-07-28,180,0.553
2022-07-28,180,0.628
2022-07-28,180,0.604
2022-07-28,180,1.214
2022-07-28,0,0.317
2022-07-28,45,0.788
2022-07-28,180,0.208
2022-07-28,45,0.575
2022-07-28,180,0.836
2022-07-28,0,1.862
2022-07-28,45,0.393
2022-07-28,45,0.96
2022-07-28,45,0.154
2022-07-29,45,1.718
2022-07-29,45,1.448
2022-07-29,45,1.633
2022-07-29,45,1.749
2022-07-29,45,2.474
2022-07-29,45,3.11
2022-07-29,225,1.352
2022-07-29,45,0.392
2022-07-29,45,1.447
2022-07-29,45,3.645
2022-07-29,45,0.615
2022-07-29,45,1.297
2022-07-29,45,2.064
2022-07-29,45,0.914
2022-07-29,45,0.779
2022-07-29,45,0.867
2022-07-29,45,0.658
2022-07-29,45,1.333
2022-07-29,45,1.958
2022-07-29,45,0.852
2022-07-29,45,2.04
2022-07-29,45,2.423
2022-07-29,45,0.924
2022-07-29,45,1.921
2022-07-29,45,1.474
2022-07-29,45,3.046
2022-07-29,45,3.188
2022-07-29,45,3.267
2022-07-29,45,2.911
2022-07-29,45,2.734
2022-07-29,45,0.675
2022-07-29,45,0.995
2022-07-29,315,0.751
2022-07-29,315,0.914
2022-07-29,225,0.728
2022-07-29,270,1.46
2022-07-29,225,1.183
2022-07-29,315,2.385
2022-07-29,225,1.521
2022-07-29,315,2.115
2022-07-29,45,2.7
2022-07-29,315,2.187
2022-07-29,315,1.421
2022-07-29,315,1.928
2022-07-29,315,2.182
2022-07-29,315,0.791
2022-07-29,315,0.587
2022-07-29,315,0.624
2022-07-29,0,0.162
2022-07-29,225,0.355
2022-07-29,0,0.19
2022-07-29,225,0.369
2022-07-29,225,0.264
2022-07-29,225,0.502
2022-07-29,0,0.318
2022-07-29,0,0.719
2022-07-29,0,0.378
2022-07-29,0,0.386
2022-07-29,0,0.362
2022-07-29,0,0.192
2022-07-29,225,0.624
2022-07-29,0,0.167
2022-07-29,225,0.384
2022-07-29,0,0.148
2022-07-29,45,0.922
2022-07-29,45,1.604
2022-07-29,45,1.438
2022-07-29,45,1.411
2022-07-29,45,1.541
2022-07-29,45,2.132
2022-07-29,225,0.862
2022-07-29,45,1.888
2022-07-29,45,3.499
2022-07-29,45,4.476
2022-07-29,45,2.583
2022-07-29,45,2.22
2022-07-29,45,3.927
2022-07-29,45,1.174
2022-07-29,45,0.873
2022-07-29,45,0.656
2022-07-29,0,0.509
2022-07-29,225,0.565
2022-07-29,225,0.25
2022-07-29,225,0.422
2022-07-29,45,0.842
2022-07-29,225,1.523
2022-07-29,225,0.44
2022-07-29,45,0.388
2022-07-29,225,0.434
2022-07-29,225,0.251
2022-07-29,225,0.268
2022-07-29,225,1.562
2022-07-29,225,0.148
2022-07-29,225,0.129
2022-07-29,225,0.787
2022-07-29,225,0.22
2022-07-29,135,2.504
2022-07-29,135,2.58
2022-07-29,135,1.969
2022-07-29,135,1.902
2022-07-29,135,1.5
2022-07-29,135,2.028
2022-07-29,135,3.536
2022-07-29,135,5.914
2022-07-29,90,9.167
2022-07-29,135,5.954
2022-07-29,90,2.557
2022-07-29,90,1.759
2022-07-29,90,3.55
2022-07-29,135,4.307
2022-07-29,135,2.333
2022-07-29,135,1.644
2022-07-29,0,0.015
2022-07-29,0,0.118
2022-07-29,0,0.313
2022-07-29,0,0.881
